from,to,distance
201,202,0.7
202,203,0.8
203,204,0.6
204,205,1
205,206,0.9
206,207,0.9
207,208,0.8
208,209,1
209,210,0.9
210,211,0.8
211,212,1.2
212,213,0.6
213,214,0.9
214,215,0.8
215,216,1
216,217,1.2
217,218,1.2
218,219,1
219,220,1.3
220,221,1.2
221,222,0.8
222,223,1.2
223,224,0.7
224,225,1.7
225,226,1.6
226,227,1.7
227,228,1
228,229,1
229,230,1.1
230,231,1.8
231,232,0.9
232,233,1.1
233,234,0.8
234,235,1.2
235,236,0.9
236,237,1.1
237,238,2
238,239,1.1
239,240,1.3
240,241,0.8
241,242,0.9
242,243,0.8
243,201,1.1
211,244,2.3
244,245,1
245,250,0.9
250,246,1.2
234,247,1
247,248,1.7
248,249,1.9